152, 10, 0, 50000, 100000, 5850019, 20057, 51975, 11, 1439, 121, 744, 18, 391, 132127, 53, 5000, 0.127085, 3.3408, 0.81898, 0.00312698
152, 10, 0, 50000, 100000, 6043316, 106042, 60355, 364, 31644, 3799, 1441, 45, 814, 256619, 52, 5000, 0.127927, 5.40065, 0.907661, 0.169584
152, 10, 0, 50000, 100000, 5380794, 87553, 42006, 150, 5315, 1247, 1463, 38, 308, 95463, 36, 5000, 0.114089, 3.53767, 0.451229, 0.102661
152, 10, 0, 50000, 100000, 6026140, 90718, 59325, 226, 36976, 2791, 1266, 61, 602, 166193, 55, 5000, 0.074739, 9.34408, 0.872509, 0.0510168
152, 10, 0, 50000, 100000, 7269514, 199363, 73335, 718, 56676, 8145, 2360, 74, 657, 198413, 23, 5000, 0.0864013, 5.93174, 0.589971, 0.126847
152, 10, 0, 50000, 100000, 9931971, 343566, 84881, 3014, 196007, 33793, 3773, 147, 635, 133914, 19, 5000, 0.111194, 9.58976, 0.773547, 0.0793846
152, 10, 0, 50000, 100000, 7742974, 74191, 56218, 65, 2791, 674, 1904, 34, 291, 51848, 36, 5000, 0.0895045, 2.46595, 0.401046, 0.0249356
152, 10, 0, 50000, 100000, 6844097, 155894, 64709, 211, 5426, 2269, 3207, 64, 812, 213833, 57, 5000, 0.140516, 5.43962, 0.287234, 0.068236
152, 10, 0, 50000, 100000, 9155664, 37756, 58763, 36, 693, 356, 908, 19, 823, 151125, 19, 5000, 0.0954104, 1.75656, 0.204831, 0.00311677
152, 10, 0, 50000, 100000, 12511699, 164589, 104622, 430, 61526, 4971, 2361, 95, 391, 132126, 64, 5000, 0.114494, 7.69395, 0.885566, 0.0267385
152, 10, 0, 50000, 100000, 5670180, 68712, 57118, 109, 4377, 1284, 1175, 39, 655, 183571, 46, 5000, 0.126346, 5.42926, 0.362324, 0.313344
152, 10, 0, 50000, 100000, 9646113, 412206, 82439, 2152, 97599, 23783, 5232, 182, 457, 90177, 79, 5000, 0.114094, 9.39399, 0.563523, 0.0340483
152, 10, 0, 50000, 100000, 6705707, 180001, 62351, 302, 5738, 3052, 3825, 81, 699, 234183, 39, 5000, 0.109427, 6.40109, 0.167877, 0.105069
152, 10, 0, 50000, 100000, 11906311, 76544, 67134, 90, 1385, 868, 1805, 45, 750, 149773, 21, 5000, 0.118924, 4.21344, 0.226063, 0.00181707
152, 10, 0, 50000, 100000, 11250360, 215869, 77754, 192, 14744, 2063, 4643, 117, 656, 238227, 30, 5000, 0.103391, 6.61028, 0.716468, 0.00198883
152, 10, 0, 50000, 100000, 7392653, 200938, 72579, 584, 43327, 6336, 2598, 78, 629, 234006, 48, 5000, 0.111397, 9.36586, 0.524651, 0.0886231
152, 10, 0, 50000, 100000, 5315198, 42417, 49001, 16, 2790, 244, 872, 17, 786, 207531, 48, 5000, 0.126338, 1.88769, 0.878023, 0.0614977
152, 10, 0, 50000, 100000, 11986376, 502003, 98966, 3541, 186025, 39230, 6074, 226, 729, 197214, 75, 5000, 0.107664, 9.33368, 0.727209, 0.0179148
152, 10, 0, 50000, 100000, 7999387, 36927, 61355, 13, 1313, 271, 1117, 18, 510, 263743, 23, 5000, 0.127347, 1.89299, 0.414439, 0.0214532
152, 10, 0, 50000, 100000, 6909109, 134198, 60536, 301, 25254, 3491, 1819, 78, 299, 53901, 19, 5000, 0.124809, 4.68176, 0.800089, 0.0763751
152, 10, 0, 50000, 100000, 11005598, 326431, 80786, 542, 24200, 5567, 5759, 189, 680, 159454, 111, 5000, 0.100778, 6.59501, 0.480293, 0.0141034
