508622, 247460, 33, 1, 0, 23, 0, 0
507630, 252567, 0, 0, 0, 27, 1, 0
533025, 230536, 0, 0, 0, 29, 1, 0
521650, 243180, 1, 1, 0, 0, 0, 0
519988, 244586, 50, 1, 0, 1, 0, 0
520202, 246215, 0, 0, 0, 3, 3, 0
516254, 252739, 0, 0, 0, 2, 1, 0
504852, 236608, 0, 0, 0, 17, 1, 0
522813, 244299, 0, 0, 0, 6, 1, 0
515319, 250201, 0, 0, 0, 37, 1, 0
516787, 245533, 0, 0, 0, 16, 1, 0
509416, 248062, 0, 0, 0, 30, 1, 0
520830, 251210, 0, 0, 0, 4, 1, 0
516680, 251090, 0, 0, 0, 192, 1, 0
526850, 247570, 0, 0, 0, 5, 2, 1
501270, 267143, 19, 0, 1, 0, 0, 0
552390, 285520, 253, 6, 5, 0, 0, 0
551110, 284210, 0, 0, 0, 12, 0, 3
551549, 285796, 0, 0, 0, 0, 0, 1
552800, 283800, 0, 0, 0, 82, 2, 9
549904, 286742, 0, 0, 0, 19, 2, 4
552630, 282910, 0, 0, 0, 0, 3, 4
551260, 285910, 0, 0, 0, 9, 6, 2
550864, 286351, 0, 0, 0, 0, 2, 3
548860, 285560, 0, 0, 0, 56, 2, 2
552942, 286595, 0, 0, 0, 75, 1, 4
552360, 280830, 0, 0, 0, 186, 3, 5
552170, 280130, 0, 0, 0, 222, 5, 4
554090, 277310, 0, 0, 0, 95, 2, 6
541700, 274460, 50, 1, 1, 242, 1, 0
547690, 274270, 0, 0, 0, 196, 4, 1
549290, 274540, 0, 0, 0, 5, 1, 1
544180, 275690, 0, 0, 0, 61, 0, 3
544220, 276500, 0, 0, 0, 20, 3, 2
546270, 277030, 0, 0, 0, 29, 4, 4
546560, 275860, 279, 4, 1, 41, 0, 0
556530, 288200, 0, 0, 0, 17, 7, 7
551296, 280807, 0, 0, 0, 76, 2, 7
556799, 288210, 0, 0, 0, 0, 0, 2
558324, 288877, 0, 0, 0, 19, 5, 11
553263, 290133, 0, 0, 0, 0, 0, 1
542767, 282575, 890, 2, 0, 0, 0, 0
544630, 281730, 0, 0, 0, 17, 4, 1
543536, 281692, 0, 0, 0, 11, 1, 3
550380, 273780, 0, 0, 0, 62, 8, 6
551378, 274456, 0, 0, 0, 13, 6, 6
551356, 274652, 0, 0, 0, 6, 2, 5
543300, 277510, 0, 0, 0, 80, 1, 0
541100, 278010, 0, 0, 0, 72, 0, 2
543180, 278830, 0, 0, 0, 37, 2, 2
542179, 281010, 0, 0, 0, 0, 0, 2
547168, 282101, 23, 2, 4, 0, 0, 0
546880, 278820, 0, 0, 0, 179, 1, 3
546160, 280090, 0, 0, 0, 62, 2, 2
546090, 283910, 0, 0, 0, 8, 1, 4
